Timestamp,Angry,Disgusted,Fearful,Happy,Neutral,Sad,Surprised
2025-04-25T16:44:00.662Z,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-04-25T16:44:01.634Z,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-04-25T16:44:03.333Z,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-04-25T16:44:03.897Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:04.680Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:05.738Z,0.00,0.00,0.00,100.00,0.00,0.00,0.00
2025-04-25T16:44:06.738Z,0.00,0.00,0.00,50.00,50.00,0.00,0.00
2025-04-25T16:44:07.821Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:08.934Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:10.165Z,0.00,0.00,0.00,0.00,50.00,0.00,50.00
2025-04-25T16:44:10.692Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:11.809Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:12.620Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:13.785Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:14.834Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:15.715Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:16.748Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:17.694Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:18.832Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:19.870Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:20.725Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:21.810Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:22.894Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:23.939Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:24.864Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:25.865Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:26.987Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:27.896Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:28.910Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:29.938Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:30.759Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:31.816Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:32.838Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:33.651Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:34.691Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:35.772Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:36.742Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:37.794Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:38.925Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:39.890Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:40.801Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:41.894Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:42.880Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:43.906Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:44.955Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:45.814Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:46.966Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:47.886Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:48.937Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:49.852Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:50.882Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:52.038Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:52.635Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:53.764Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:54.696Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:55.830Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:56.705Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:57.746Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:58.831Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:44:59.762Z,0.00,0.00,0.00,50.00,50.00,0.00,0.00
2025-04-25T16:45:00.814Z,0.00,0.00,0.00,100.00,0.00,0.00,0.00
2025-04-25T16:45:01.807Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:45:02.763Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:45:03.930Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:45:04.702Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:45:05.909Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:45:06.870Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:45:07.694Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:45:08.839Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:45:09.635Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
2025-04-25T16:45:10.832Z,0.00,0.00,0.00,0.00,100.00,0.00,0.00
